"English","Danish","Dutch","Finnish","French","German","Indonesian","Italian","Japanese","Latin","Norwegian","Portugese","Spanish","Swahili","Swedish"
"brain","hjerne","hersenen, brein, hersens","aivot","cervelle, cerveau","Gehirn, Gehirn [im Plural: Verstand], Hirn","otak","cervello","bure-n, chinou, dainou, nouzui, nou","-","hjerne","cérebro","cerebro, cerebral","-","hjärna"
"branch","afdeling, gren, filial","tak, aftakking","oksa, lokero","filiale, succursale, spécialité, branche","springen, verzweigen, Branche, Abteilung, Sprung","dahan","filiale, ramo","shibu, buranchi, bunka, bundan, wakaremichi, bunka","-","gren, avdeling","ramo, filial","bifurcar, ramo, ramificar, rama, sucursal","-","bransch, gran, filial"
"brave","modig, tapper","flink, braaf, eerlijk, dapper, ferm","uljas, rohkea","brave, vaillant, courageux","tapfer, mutig, lieb","berani","coraggioso, valoroso","isamashii, ririshii, souretsu, kaigaishii","-","modig, tapper","bravo","arrojado, animoso","hodari","trotsa, djärv, modig, morsk, käck, tapper"
"bread","brød","mik, brood","leipä","pain","Brot, Brot, panieren","roti","pagnotta","bureddo, pan","pane, panis","brød","pão","pan","mkate","bröd"
"break","brække","afbreken","särkeä, tauko","rompons, romps, rompre, cassent, casser, rompez","aufheben, stoppen, unterbrechen","mempecahkan, pecah, pecahkan","vomico","kireme, kujiku, bure-ku, kyuukei, kyuuyou, kirema","rumpere, abrumpere","-","partir-se, ruptura, romper","romper, descanso","-","avbrott, brista, bryta, spricka"
"breast","bryst","boezem, borst","nisä, rinta","sein, mamelle, poitrine","Brust","dada","torace","munamoto, nyuubou, mune, buresuto, chichi, munaita","mamma","bryst","peito","pecho, seno","kifua","bröst"
"bridge","bro","brug, commandobrug","silta","carpette","Brücke, eine Brücke schlagen, Brücke","jembatan","ponte","burijji, kyouryou, hashi, sankyou, kankyou","-","bro","ponte","puente","-","brygga, bro"
"broad","bred","breed, wijd","leveä","large","umfassend, deutliche, breit, deutlich","luas","largo","habahiroi, oozappa, habanohiroi, oomaka","-","bred","largo, amplo","ancho","pana","bred"
"brother","broder, bror","broer, broeder","veli","frère, frangin","Kollege, Bruder, Bruder","-","fratello","-","frater","bror","irmão","hermano","kaka, ndugu","bror, broder"
"brush","børste","borstelen, schuieren","harja","brosse, brossent, brosser, brossons, brossez","fegen, putzen, Bürste, Bürste, putzen, Pinsel","sikat, menyikat","pennello, spazzola","sasshi, hake","-","børste","escova","brocha, cepillo, pincel, cepillar","-","pensel, borsta, borste"
"bucket","spand","emmer","ämpäri","seau","Schaufel, Eimer, Eimer","ember","secchio","oke, baketsu","situla","bøtte, spann","balde, cubeta","balde, cubo","-","hink"
"building","bygning","constructie, bouw, aanbouw","-","édification, édifiant, bâtiment, édifice","Erstellung, Gebäude, bildend/Gebäude","bangunan","edificio, edifizio","tatemono, eizou, tou, kasetsu, kenzou, kaoku","ædificium","bygning","edifício","edificio","-","byggnad"
"burden","læs","beladen, inladen, belasten, laden","lasti","accablement, alourdissons, alourdir, alourdissez","belaste, belasten, Last","memuati, muatan","addossare, aggravio","fuka, yakkai, yakkaigoto, yakkaimono, futan","-","byrde","carga","gravamen, carga, ajobo","mzigo","last, börda, refräng"
"burn","brænde","aanbranden","palaa","s'allumer, brulons, brulez, bruler, cuite, griller","Zündung {f}, brennen, Brandwunde {f}","membakar, bakar ... membakar, bakar","ustione, bruciare, accendere, pungere, ardere","kashou, yakedo","flagrare","brenne","queimadura","pinchar, arder, abrasar, quemadura, quemarse","-","vidbränna, förbränna, brännsår, brinna, bränna"
"Business","handel, anliggende","aangelegenheid, zaak, affaire, ding","kauppa, asia","affaire, marché, chose, commerce","Geschäft, Sache, Problem, Geschäft","perkara","affare, affari, faccenda","ko, keizai, kanchi, jitsugyou, shokugyou, shouhou","res, causa","forretning, anliggende","comércio, negócio, assunto, transacção","negocio, comercio, cosas, comercial, negocios","jambo","rörelse, affär, göromål"
"but","men","maar, doch","kuitenkin, mutta","pourtant, mais, cependant, néanmoins","ohne daß, sondern, sondern, aber, aber","-","ma, però","datte, shikaruni, naradeha, keredomo, tadashi","autem, tamen, sed","-","mas, embora, contudo","sino, pero, mas","bali, lakini","men, utan"
"butcher","slagter","slachten, afslachten","teurastaa","boucher, charcutier, abattre","Fleischer, Metzger, Metzger, Fleischer","-","macellaio, macellaio","nikuya, satsu","cædere","slakter","açougueiro, carniceiro","carnicero","-","slaktare, chakuteriaffär"
"butter","smør","boter","voi","beurre","Butter, Butter, mit Butter bestreichen","-","burro","bata-, nyuuraku","-","smør","manteiga","manteca, mantequilla","siagi","smör"
"bye","farvel","adieu, vaarwel","hyvästi","adieu, bientôt a","Wiedersehen","-","rivedersi, arrivederci, addio","bai","ave","farvel, på gjensyn","adeus, assunto secundário","adiós","kwa heri, kwa herini","-"
"cabbage","kål","kool","kaali","chou","Kohl","-","cavolo, càvolo","kyabetsu","brassica","kål","repolho, couve","col","-","kål"
"cabin","kahyt, hytte","stulp, hut","mökki, hytti","hutte, cabane, chaumière, dunette, cabine","Kajüte, Kabine, Kabine","-","cabina, cabina, capanna","kebin, senshitsu, koya, kyabin","canaba, casa","lugar, hytt, hytte, kahytt","camarote, cabine, cabana","cabana, camarote, cabaña","kibanda","koja, hytt, kajuta"
"call","råbe, kalde","noemen, heten, benoemen, uitmaken voor","kutsua","appel, appelons, manifeste, appelent, appeler","Anruf {m}, anrufen, rufen, Aufruf {m}, Aufruf","-","fama, chiamare, chiamata","ko-ru, houmon, yobidashi, yobigoe, meshi, shou","vocare","kalle","nomear, chamar, chamada","llamada, gritar, proclama, nombradia","-","visit, benämna, väcka, titulera, appell, kalla"
"candle","lys","kaarsensterkte, candela, kaars","kynttilä","bougie, chandelle","Kerze","lilin","candela","kyandoru, rousoku","-","lys","vela","bujia, vela, bujia","-","ljus, stearinljus"
"capable","dygtig","bekwaam, capabel, kundig","kykenevä","capable","fähig","sanggup","adatto, abile, idoneo, capace","yuui","-","dyktig","capaz","capaz","enye akili","duglig"
"capture","fange","beetnemen, pakken, beetkrijgen","pyydystää","capturez, attraper, capturent, capturer, capturons","erfassen, erfassen, einfangen","menangkap, tangkap","rilevamento, accalappiare","nottori, da, torimono, kyapucha-, taiho, kouryaku","-","fange, erobre, gripe","captação","capturar","-","uppbringa, erövra, tillfångata, kap, fånga"
"carry","bære","dragen, voorhebben, voeren, brengen","kantaa","remportent, remportez, remportons, porter, portez","übertragen, übertrag, übertrag","angkat ... mengangkat","-","kyari-, hansou","vehere, portare","bære","carregue","sostener","-","bära , föra"
"case","anliggende, tilfælde","affaire, zaak, aangelegenheid, ding","asia","affaire, fouille, étui, chose, cas","Koffer, Gehäuse, Angelegenheit, Fall, Fach","perkara","tasca, valigia, affare, astuccio, decadimento","ke-su, jiken, baai, rei, kyoutai, gi, keisu, ken","causa, res","anliggende","caso, assunto","baul, particular, asunto, caso, bolsillo","jambo","hylsa, kasus, fodral, mål, fall, sak, låda, skrin"
"cat","kat","kattekop","kissa","chat, matou, mégère, rosse","Katze","-","gatto, gatta","neko","catus","katt","gato","gato","paka","katt"
"catch","fange","aanfloepen, aanflitsen, aangaan","pyydystää","attrapez, s'allumer, capturer, intercepter","fangen, auffangen, fangen, erwischen","menangkap, memukul, tangkap, pukul","accalappiare, cogliere","gyokaku, kyacchi, haaku, hikite","-","fangst, oppfatte, gripe, fange, pådra seg, fange","prendedor","capturar","-","ertappa, fasttaga, gripa, hinna, fatta, fånga"
"caution","forsigtighed, advare","waarschuwen","varoittaa","circonspection, avertir","Behutsamkeit, Vorsicht, Warnung","-","fedeltà, precauzione","chuui, nennoirekata, kaikoku, ko-shon","monere","forsiktighet, forsiktighet","cuidado","precaucion, precaución","-","försiktighet, varning, varsamhet"
"chain","kæde","ketting, keten","ketju","enchaîner, chaine, enchaînez, enchaînons","Kette, Kette, anketten","-","catena","kusari, che-n, rensa, chein","catena","kjede","corrente","cadena","-","kedja, länk"
"chair","stol","stoel","tuoli","siège, présidence, chaise","Stuhl, Vorsitz, Stuhl","kursi","presidenza, sedia","kouza, isu, chea, ishi","-","stol","cadeira","presidencia, silla","kiti","stol"
"chalk","kridt","krijt","liitu","crétacé, craie","ankreiden, Kreide, Kreide","-","cretàceo, creta","hakuboku, cho-ku, hakua, karuki","creta","kritt","greda, giz, griz","greda, tiza","-","krita"
"chamber","værelse","lokaal, vertrek, kamer","huone","ventricule, chambre","Zimmer, Kammer","kamar","camera","-","-","rom, værelse","quarto, câmara","habitación, camara","chumba","rum"
"change","veksle, småpenge, forandre","veranderen, anders maken","muuttaa","changement, changez, métamorphoser, variation","wechseln, ändern, umschalten, ändern","ubah ... berubah, mengubah","convertire, alternare, alterare, variazione","hensen, kae, kawari, ijou, henkan, henka, henkou","-","forandre, veksle","troco, mudança","alterar, variación, transmutar, modificar, cambio","-","omkastning, ändra, ändring, växla, omväxling, byta"
"character","karakter, tegn","aard, karakter, geaardheid","merkki","caractère, signe, caractere","Schriftzeichen, Symbol","tanda","natura, simbolo","hinsei, etai, kyarakuta-, moji, seikaku, jinpin","animus","-","carácter, caráter","seña, carácter, caracter, simbolo","-","karaktär, sinnelag"
"charge","læs","aanklacht, beschuldiging","lasti","chargeons, grever, taxe, chargent, accablement","Aufladung {f}, laden","muatan","caricato, lamentela, tassa, aggravio, delegare","denka, ryou, tosshin, ryoukin, daikin, inin, futan","-","-","carga","gravamen, cargar, gastos, gravar, comisionar","mzigo","avgift, ladda, omkostnad, försvar, anbefalla, last"
"cheap","billig","goedkoop","-","bon marché, abordable","minderwertig, billig, billig","murah","economico, di valore scadente","tegaru, yasui, teiren","vilis","billig","barato","barato","rahisi","billig"
"cheese","ost","kaas","juusto","fromage","Käse","-","formaggio","chi-zu, kanraku, furoma-ju","caseus","ost","queijo","queso","jibini","ost"
"cherry","kirsebær","kers","kirsikka","cerise","Kirsche","-","ciliegia","sakuranbo, cheri-","cerasus","kirsebær","cereja","cereza","-","körsbär"
"chest","kiste, bryst","borst, boezem","rinta","sein, poitrine, commode, coffre","Koffer, Brust, Kasten, Kasten","dada","torace, cassapanca, valigia, cassone","mune, ki, kyoubu, kyoukaku, hitsu, munaita","arca","bryst","caixa, peito","arca, aparador, baul, cajon, pecho","kifua","lår, bröst, kista"
"chicken","høne","kippevlees, kip","kukko","poulet, poule","Huhn, Küken","anak ayam, ayam","pollo, galletto","chikin","-","høne, kylling","galinha, frango","gallina","kuku","kyckling"
"chief","chef","aanvoerder, baas, gebieder, chef","päällikkö","dabe","Anführer {m}","majikan","capo","oyabun, shuryou, chi-fu, oyadama, shuseki, kyokai","dux, princeps","høvding","chefe","comandante, capitán, caporal, dueño, caudillo","jumbe, kuu","hövding"
"child","barn","loot, jong, kind, afstammeling","lapsi, jälkeläinen","enfant","Kind","-","fanciullo, fanciulla, fanciullesco","youji, kodomo, warabe, shounin, tou, ko, chigo, ko","infans","barn","menino, menina, criança","niño, niña","mwana, mtoto","barn"
"church","kirke","kerk","kirkko","église","Kirche","gereja","chiesa","kyoukai, seidou, cha-chi, kaidou","-","kirke","igreja","iglesia","kanisa","kyrka"
"cigarette","cigaret","saffiaantje, sigaret","savuke","sèche, cigarette","Zigarette","rokok","sigaretta","shigaretto","-","sigarett","cigarro","papelillo, cigarrillo, cigarillo","-","cigarrett"
"circle","cirkel","kring, cirkel","ympyrä","cercle, rond","Kreis","-","cerchia","maru, maru, maru, sa-kuru, ken, enjin, wa, enkei","orbis","sirkel","círculo","círculo, círculo, circulo","-","krets, cirkel, cirka, kretsa"
"City","by","wereldstad, grote stad","kaupunki","cité, urbain, ville","Stadt, Stadtzentrum","-","città, centro","shiti, tokai, shi, toshi, shigai","oppidum, urbs","by","vila, cidade","ciudad","mji","stad"
"class","-","stand, klasse, klas","kurssi","cours, leçon, classe","Klasse","kelas","categoria, ceto","rui, kumi, kuraidori, kaikyuu, sou, toukyuu, bumon","classis","klasse","classe","curso, cursillo, clase, categoria","-","klass"
"clay","ler","klei-, van klei, aarden","savi","glaise, argile, tonale","Ton, Lehm, tönern","-","argilla","nendo, kure-, touji","argilla","leire","argila","arcilla","-","lera"
"clean","gøre ren, ren","rein, puur, schoon, zindelijk","puhdas","nettoyent, astiquer, ramoner, nettoyez, pur","sauber, sauber, steril/sauber, abputzen","membersihkan, bersih","forbire, lustrare, lindo","sapparishita, seijou, kirei, kiyoraka, kuri-n","purus","ren","limpar, limpo","enjugar, mondar, limpio","safi","rensa, snygg, ren, putsa, rengöra"
"clear","tydelig, lys, klar","hel, licht, klaar","selvä, vaalea","net, ramoner, clair","klar, reinigen","nyata","forbire, sereno, esente, distinto","akiraka, sukkiri, hareichijikosame, meirou, kuria-","-","klar","cancele, claro","franco, dilucido, claro, aligerarse","-","redig, röja, tydlig, åskådlig, klar, klarna"
"clerk","kontorist","bediende, kantoorbediende","-","employée","Beamte, angestellter, Büroangestellte, Schreiber","-","funzionario","shoki, kanri, bantou, kyokuin, ten'in, kura-ku","amanuensis","kontorist","caixeiro","oficinista","karani","kontorist, notarie"
"client","kunde","klant, koper, afnemer","asiakas","client, acheteur","Kunde, Klient","langganan","committente, compratore","raihousha, kokyaku, iraijin, kuraianto, iraisha","-","klient","freguês, cliente","cliente, mandante","-","klient"
"climate","-","klimaat","ilmasto","climat","Klima","iklim","clima","kishou, kikou, fuudo, kikou","clima","klima","clima","clima","-","klimat"
"clock","ur","uurwerk, klok","kello","horloge","Uhr, Uhr, Taktgeber","-","orologio","kurokku, tokei","-","klokke, ur","pulso de disparo","reloh","saa","ur, klocka"
"clothes","klæder, tøj","kleding, kleren","-","vêture, vêtements, vetements, garde robe, vêtu","bekleidet, Sommersachen, Kleider","pakaian","vestimento","emon, koromo, fuku, ifuku","-","klær","roupa, roupas","ropaje, ropa","nguo","kläder"
"cloud","sky","wolk","pilvi","nue, nuage","Wolke, Wolke, Schatten","awan","nube, nuvolo, ombrosità","kumo","nebula","sky","nuvem","sombrc, nube","-","moln, sky"
"cold","forkølelse, kold","koud","-","froid, coryza, refroidissement, rhume","Erkältung, kalt, kalt","-","raffreddore, raffreddore, frigido, aver freddo","hiyayaka, hiebie, hiyaritoshita, sokkenai, retsu","frigus","kald","constipação, resfriado, frio","resfriado, constipado, frío, catarro, frialdad","baridi","kyla, köld, kall, förkylning, snuva, frusen"
"collect","samle","collecteren, innen, inzamelen","kerätä","recueillir, recuellir, recueillez, encaisser","zusammenfassen, zusammenfassen, sammeln","mengumpulkan, kumpulkan","incassare, raccogliere, ritirare","korekuto","colligere","-","colete, colher","cobrar, coleccionar, cobrar","-","inkassera, indriva, insamla, ansamla, samla"
"colour","farve, kulør","verven, kleuren","-","-","Farbe","warna","tinta, colorazione","iro, shikisai, kara-, irotsuya","color","farge","cor","coloracion, tez, color","rangi","kulör, färga, färg"
"comb","kam, kæmme","uitkammen, kammen","kammata","peigne, peignent, peigner, peignons, peignez","Kamm","menyisir, sisir","pettinare, pettine","kushi","-","kjemme","pente","peine, peinar","-","kam, kamma"
"common","sædvanlig, ordinær","algemeen, gemeenschappelijk","yhteinen, tavallinen","couramment, concurremment, ordinaire, commun","allgemein, allgemein, zusammen","-","sciolto, ordinario, comune","tsuuzoku, kyouyuuchi, arigachi, kyouritsu, tada","communis","alminnelig, vanlig, felles","comum","comun, común","-","tarvlig, allmän, gemensam, vanlig, ordinär"
